Database???Annual by Province
Indicators£ºGross Regional Product(100 million yuan)
Year£º1993-2023
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Guangxi,27202.4,26186.1,25209.1,22120.9,21237.1,19627.8,17790.7,16116.6,14797.8,13587.8,12448.4,11303.6,10299.9,8552.4,7112.9,6455.4,5474.8,4417.8,3742.1,3305.1,2798.2,2523.7,2279.3,2080.0,1971.4,1911.3,1817.3,1697.9,1497.6,1198.3,871.7
Hainan,7551.2,6889.6,6504.1,5566.2,5330.8,4910.7,4497.5,4090.2,3734.2,3449.0,3115.9,2789.4,2463.8,2020.5,1620.3,1474.7,1234.0,1027.5,884.9,802.7,714.0,642.7,579.2,526.8,476.7,442.1,411.2,389.7,363.3,332.0,260.4
Chongqing,30145.8,28576.1,28077.3,25041.4,23605.8,21588.8,20066.3,18023.0,16040.5,14623.8,13027.6,11595.4,10161.2,8065.3,6651.2,5899.5,4770.7,3900.3,3448.4,3059.5,2615.6,2279.8,2014.6,1822.1,1687.8,1622.4,1525.3,1326.4,1130.6,838.1,611.1
Sichuan,60132.9,56610.2,54088.0,48501.6,46363.8,42902.1,37905.1,33138.5,30342.0,28891.3,26518.0,23922.4,21050.9,17224.8,14190.6,12756.2,10562.1,8494.7,7195.9,6304.0,5346.2,4725.0,4293.5,3928.2,3649.1,3474.1,3241.5,2871.7,2443.2,2001.4,1486.1
Guizhou,20913.3,20010.4,19458.6,17860.4,16769.3,15353.2,13605.4,11792.4,10541.0,9173.1,7973.1,6742.2,5615.6,4519.0,3856.7,3504.5,2847.5,2264.1,1939.9,1649.4,1429.0,1243.4,1133.3,1029.9,937.5,858.4,805.8,723.2,636.2,524.5,417.7
Yunnan,30021.1,28556.1,27161.6,24555.7,23223.8,20880.6,18486.0,16369.0,14960.0,14041.7,12825.5,11097.4,9523.1,7735.3,6574.4,6016.6,5077.4,4090.7,3497.7,3136.4,2633.4,2358.7,2159.0,2030.1,1899.8,1831.3,1676.2,1517.7,1222.2,983.8,783.3
Tibet,2392.7,2150.2,2080.2,1902.7,1697.8,1548.4,1349.0,1173.0,1043.0,939.7,828.2,710.2,611.5,512.9,445.7,398.2,344.1,285.9,243.1,217.9,186.0,162.0,139.2,117.8,106.0,91.5,77.2,65.0,56.1,46.0,37.4
Shaanxi,33786.1,32838.2,30121.7,26014.1,25793.2,23941.9,21473.5,19045.8,17898.8,17402.5,15905.4,14142.4,12175.1,9845.2,7997.8,7177.8,5681.8,4595.6,3817.2,3141.6,2587.7,2253.4,2010.6,1804.0,1592.6,1458.4,1363.6,1215.8,1036.9,839.0,678.2
Gansu,11863.8,11121.4,10225.5,8979.7,8718.3,8104.1,7336.7,6907.9,6556.6,6518.4,6014.5,5393.1,4816.9,3943.7,3268.3,3071.7,2675.1,2203.0,1864.6,1653.6,1399.9,1232.0,1125.4,1052.9,956.3,887.7,793.6,722.5,557.8,453.6,372.2
Qinghai,3799.1,3623.3,3385.1,3009.8,2941.1,2748.0,2465.1,2258.2,2011.0,1847.7,1713.3,1528.5,1370.4,1144.2,939.7,896.9,720.1,585.2,499.4,443.7,385.0,340.7,300.1,263.7,239.4,220.9,202.8,184.2,167.8,138.4,109.7
Ningxia,5315.0,5104.6,4588.2,3956.3,3748.5,3510.2,3200.3,2781.4,2579.4,2473.9,2327.7,2131.0,1931.8,1571.7,1266.7,1139.2,877.6,683.3,579.9,519.9,442.6,377.2,337.4,295.0,264.6,245.5,224.6,202.9,175.2,136.3,104.5
Xinjiang,19125.9,18042.7,16311.6,13800.7,13597.1,12809.4,11159.9,9630.8,9306.9,9264.5,8392.6,7411.8,6532.0,5360.2,4237.0,4142.5,3500.0,2957.3,2520.5,2170.4,1889.2,1612.6,1491.6,1363.6,1163.2,1107.0,1039.8,900.9,814.9,662.3,495.3
Data Sources£ºNational Bureau of Statistics
